park_code,park_name,city,state,lat,lng,min_temp,max_temp,humidity,cloudiness,wind_speed,date
poex,Pony Express National Historic Trail,Santa Fe,NM,42.2365761128,-109.266148417,60.51,60.51,48,100,1.59,1663264469
pohe,Potomac Heritage National Scenic Trail,Williamsport,MD,39.15060133,-77.52301085,75.34,81.48,62,75,8.99,1663264470
popo,Poverty Point National Monument,Pioneer,LA,32.6424361,-91.40829834,84.07,84.07,50,0,6.11,1663264470
prsf,Presidio of San Francisco,San Francisco,CA,37.797,-122.4671,59.22,70.36,84,40,10,1663264470
prwi,Prince William Forest Park,Triangle,VA,38.58589108,-77.38910997,75.56,81.23,57,75,8.05,1663264470
puho,Puʻuhonua o Hōnaunau National Historical Park,Hōnaunau,HI,19.41268627,-155.9008789,73.72,80.02,75,28,2.95,1663264471
puhe,Puʻukoholā Heiau National Historic Site,Kawaihae,HI,20.02772186,-155.8211629,74.16,80.47,76,27,3.22,1663264471
rabr,Rainbow Bridge National Monument,Lake Powell,UT,36.9943264317,-111.491484759,72.64,73.87,58,1,3,1663264471
redw,Redwood National and State Parks,Crescent City,CA,41.37237268,-124.0318129,54.03,62.22,62,19,5.59,1663264472
rich,Richmond National Battlefield Park,Richmond,VA,37.48774472,-77.29107785,78.22,83.37,57,40,4.61,1663264472
rigr,Rio Grande Wild & Scenic River,Big Bend National Park,TX,29.52743158,-102.5979169,81.41,81.41,40,1,3.15,1663264472
rira,River Raisin National Battlefield Park,Monroe,MI,41.91291085,-83.37620464,68.04,73.72,73,100,6.91,1663264076
rocr,Rock Creek Park,Washington,DC,38.95125063,-77.05002838,74.84,81.75,57,40,10.36,1663264472
romo,Rocky Mountain National Park,Estes Park,CO,40.3556924,-105.6972879,41.92,55.69,64,75,5.06,1663264473
ruca,Russell Cave National Monument,Bridgeport,AL,34.97402063,-85.81560314,77.29,83.57,48,0,3.36,1663264473
sahi,Sagamore Hill National Historic Site,Oyster Bay,NY,40.88579128,-73.49686438,67.32,74.61,42,2,7,1663264473
sagu,Saguaro National Park,Tucson,AZ,32.20909636,-110.7574974,82.89,88.57,38,0,5.99,1663264474
sacn,Saint Croix National Scenic Riverway,St. Croix Falls,WI,45.70019235,-92.36126685,75.61,81.91,47,40,9.22,1663264474
