parkCode,Park Name,City,State,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
pisp,Pipe Spring National Monument,Fredonia,AZ,36.86282666,-112.7398567,289.9,291.76,57,91,0.88,1663121540,US
pore,Point Reyes National Seashore,Point Reyes Station,CA,38.05511241,-122.8797804,288.67,292.34,87,4,3.13,1663121541,US
poex,Pony Express National Historic Trail,Santa Fe,NM,42.2365761128,-109.266148417,286.97,286.97,69,100,0.86,1663121541,US
pohe,Potomac Heritage National Scenic Trail,Williamsport,MD,39.15060133,-77.52301085,289.73,294.92,67,40,3.6,1663121541,US
popo,Poverty Point National Monument,Pioneer,LA,32.6424361,-91.40829834,290.28,292.63,60,0,1.5,1663121542,US
prsf,Presidio of San Francisco,San Francisco,CA,37.797,-122.4671,288.63,292.4,88,0,5.36,1663121542,US
prwi,Prince William Forest Park,Triangle,VA,38.58589108,-77.38910997,290.44,294.95,78,100,3.09,1663121542,US
puho,Puʻuhonua o Hōnaunau National Historical Park,Hōnaunau,HI,19.41268627,-155.9008789,297.6,301.77,86,57,0.78,1663121542,US
puhe,Puʻukoholā Heiau National Historic Site,Kawaihae,HI,20.02772186,-155.8211629,297.85,302.48,75,56,0.92,1663121543,US
rabr,Rainbow Bridge National Monument,Lake Powell,UT,36.9943264317,-111.491484759,294.19,295.23,62,0,0.45,1663121543,US
redw,Redwood National and State Parks,Crescent City,CA,41.37237268,-124.0318129,284.68,286.39,78,97,1.17,1663121543,US
